title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3,hasFemaleDirector,hasFemaleWriter,primaryDirGender,primaryWriterGender
Murder!,1930,21165.0,7291,3,6.3,6972.0,92,Crime,Mystery,Thriller,0,1,M,unknown
Animal Crackers,1930,20640.0,8463,3,7.4,15298.0,97,Comedy,Family,Musical,0,0,M,M
M,1931,22100.0,610,3,8.3,168913.0,99,Crime,Mystery,Thriller,0,1,M,F
M&auml;dchen in Uniform,1931,22183.0,628,3,7.6,3757.0,87,Drama,Romance,,1,1,F,F
Night Nurse,1931,22208.0,636,3,7.0,4504.0,72,Comedy,Crime,Drama,0,1,M,F
Frankenstein,1931,21884.0,1317,1,7.8,79957.0,70,Drama,Horror,Sci-Fi,0,1,M,M
Anna Christie,1931,20642.0,1327,3,6.9,941.0,85,Drama,,,0,1,M,M
Mata Hari,1931,23196.0,1333,3,6.6,3961.0,89,Crime,Drama,Romance,0,1,M,M
Tabu: A Story of the South Seas,1931,22458.0,1633,0,7.4,6404.0,86,Adventure,Drama,Romance,0,0,unknown,unknown
Indiscreet,1931,22000.0,1828,3,6.2,1553.0,92,Comedy,Musical,Romance,0,0,M,M
"Last Flight, The",1931,22054.0,1956,0,6.9,1393.0,76,Drama,,,0,0,M,M
Pardon Us,1931,22251.0,1974,0,6.8,2829.0,56,Comedy,Crime,Drama,0,0,M,unknown
Dracula,1931,21814.0,1985,2,7.4,58808.0,75,Drama,Fantasy,Horror,0,0,M,M
Monkey Business,1931,22158.0,2384,1,7.4,14301.0,77,Comedy,Family,Musical,0,0,M,unknown
City Lights,1931,21749.0,2705,3,8.5,196551.0,87,Comedy,Drama,Romance,0,0,M,M
"Smiling Lieutenant, The",1931,22074.0,4243,2,7.1,4125.0,93,Comedy,Musical,Romance,0,0,M,M
"Cheat, The",1931,21735.0,5741,3,6.3,836.0,74,Drama,Romance,,0,0,M,M
"Public Enemy, The",1931,22286.0,5934,3,7.6,23084.0,83,Crime,Drama,,0,0,M,unknown
La Chienne,1931,21739.0,6030,3,7.5,4849.0,95,Crime,Drama,,0,0,M,M
A Nous la Liberte,1931,22599.0,6031,1,7.4,4979.0,83,Comedy,Musical,,0,0,M,M
Little Caesar,1931,21079.0,6043,1,7.2,14586.0,79,Action,Crime,Drama,0,0,M,unknown
"Skin Game, The",1931,22395.0,7294,3,5.7,3572.0,85,Drama,,,0,1,M,M
Rich and Strange [East of Shanghai],1931,23395.0,7296,2,5.7,4934.0,83,Comedy,Drama,Romance,0,1,M,M
Dracula,1931,21815.0,8213,3,7.0,5114.0,104,Drama,Fantasy,Horror,0,0,M,M
Cimarron,1931,21746.0,8467,3,5.8,6960.0,123,Drama,Western,,0,1,M,F
Hyppolit a lakaj,1931,21985.0,8557,1,7.7,1759.0,72,Comedy,,,0,0,M,M
Skippy,1931,22397.0,9095,3,6.3,1006.0,85,Comedy,Drama,Family,0,0,M,M
"Champ, The",1931,21730.0,9110,1,7.2,3637.0,86,Drama,Family,Sport,0,1,M,F
I Am a Fugitive from a Chain Gang,1932,23042.0,1318,1,8.2,14480.0,92,Crime,Drama,Film-Noir,0,0,M,M
Grand Hotel,1932,22958.0,1328,3,7.3,20922.0,112,Drama,Romance,,0,1,M,F
"Age of Consent, The",1932,22614.0,1983,2,6.0,451.0,63,Drama,Romance,,0,1,M,F
Horse Feathers,1932,23027.0,2383,1,7.5,13420.0,68,Comedy,Family,Musical,0,0,M,M
White Zombie,1932,23694.0,2550,0,6.2,11684.0,69,Horror,,,0,0,M,M
Boudu Saved from Drowning,1932,22718.0,2767,1,7.2,6222.0,85,Comedy,,,0,0,M,M
"I Was Born, But...",1932,23634.0,3530,1,7.9,6233.0,90,Comedy,Drama,,0,0,unknown,M
"Most Dangerous Game, The",1932,23238.0,3658,0,7.1,14060.0,63,Action,Adventure,Horror,0,0,M,M
Freaks,1932,22913.0,3659,2,7.8,50740.0,64,Drama,Horror,,0,0,M,M
Island of Lost Souls,1932,24188.0,3844,1,7.4,10961.0,70,Film-Noir,Horror,Sci-Fi,0,0,unknown,M
"Old Dark House, The",1932,23293.0,4775,3,7.0,13151.0,72,Adventure,Comedy,Drama,0,0,M,unknown
Merrily We Go to Hell,1932,23213.0,5742,3,6.9,1943.0,83,Comedy,Drama,Romance,1,1,F,M
"Girl from Calgary, The",1932,22940.0,5783,2,5.4,94.0,64,Comedy,Musical,,0,0,M,M
Vampyr,1932,23649.0,5910,3,7.4,20587.0,75,Fantasy,Horror,,0,0,M,M
Shanghai Express,1932,23458.0,5929,3,7.3,10393.0,82,Adventure,Drama,Film-Noir,0,0,M,M
Three on a Match,1932,23590.0,6051,3,7.1,4409.0,63,Crime,Drama,Romance,0,0,M,M
Love Me Tonight,1932,23158.0,6052,2,7.5,4640.0,104,Comedy,Musical,Romance,0,0,M,M
Scarface,1932,23427.0,6063,1,7.7,30414.0,93,Action,Crime,Drama,0,0,M,unknown
Red-Headed Woman,1932,23385.0,6092,3,7.0,3547.0,79,Comedy,Drama,Romance,0,1,M,F
"Death Kiss, The",1932,23935.0,6176,1,6.0,1423.0,75,Comedy,Crime,Drama,0,1,M,F
Thirteen Women,1932,23582.0,6852,3,6.2,1874.0,73,Crime,Drama,Horror,0,1,M,F
"Blue Light (Das Blaue Licht), The",1932,22694.0,6990,1,6.8,1394.0,85,Drama,Fantasy,Mystery,1,1,F,M
Number 17,1932,23285.0,7301,0,5.7,5454.0,66,Crime,Mystery,Thriller,0,1,M,M
"Bitter Tea of General Yen, The",1932,23814.0,10705,3,6.9,4324.0,88,Drama,Romance,War,0,1,M,F
Footlight Parade,1933,24028.0,802,3,7.5,6108.0,104,Comedy,Musical,Romance,0,0,M,M
